id,age,sex,edu,polviews_10,issue,type,opinion,mf,value
180,36,Male,7,2,abany,against,0,Harm,0
56,30,Female,7,9,abany,against,0,Harm,0
75,31,Female,7,3,abany,against,0,Harm,1
110,28,Female,3,6,abany,against,0,Harm,0
114,37,Female,8,3,abany,against,0,Harm,0
65,26,Male,3,5,absingle,against,0,Harm,0
26,19,Male,3,4,absingle,against,0,Harm,0
91,31,Female,8,8,absingle,against,0,Harm,0
53,37,Female,2,8,absingle,against,0,Harm,0
218,23,Female,7,7,absingle,against,0,Harm,0
75,31,Female,7,3,abdefect,against,0,Harm,0
221,51,Female,7,7,abdefect,against,0,Harm,0
68,20,Male,4,8,abdefect,against,0,Harm,0
212,19,Male,2,5,abdefect,against,0,Harm,0
75,31,Female,7,3,abhlth,against,0,Harm,0
95,22,Female,2,1,abhlth,against,0,Harm,1
81,30,Male,7,3,abhlth,against,0,Harm,1
41,24,Male,7,8,abhlth,against,0,Harm,0
90,25,Male,7,5,abrape,against,0,Harm,0
75,31,Female,7,3,abrape,against,0,Harm,0
47,35,Male,7,8,abrape,against,0,Harm,0
49,29,Female,3,2,abrape,against,0,Harm,0
27,25,Male,3,5,abrape,against,0,Harm,1
147,20,Male,2,5,suicide1,against,0,Harm,0
56,30,Female,7,9,suicide1,against,0,Harm,0
120,27,Female,7,5,suicide1,against,0,Harm,0
114,37,Female,8,3,suicide1,against,0,Harm,0
76,28,Female,4,5,colhomo,against,0,Harm,0
49,29,Female,3,2,colhomo,against,0,Harm,0
71,24,Male,2,5,grass,against,0,Harm,0
31,21,Female,4,7,grass,against,0,Harm,0
107,29,Male,7,6,grass,against,0,Harm,0
26,19,Male,3,4,grass,against,0,Harm,0
56,30,Female,7,9,grass,against,0,Harm,0
200,28,Female,7,7,grass,against,0,Harm,0
43,35,Female,4,5,grass,against,0,Harm,0
36,23,Female,3,5,grass,against,0,Harm,0
93,26,Male,3,5,grass,against,0,Harm,0
120,27,Female,7,5,grass,against,0,Harm,0
49,29,Female,3,2,grass,against,0,Harm,0
137,25,Female,7,6,grass,against,0,Harm,0
164,33,Male,8,6,spkmil,against,0,Harm,1
26,19,Male,3,4,spkmil,against,0,Harm,0
112,27,Male,4,6,spkmil,against,0,Harm,0
191,27,Female,3,5,spkmil,against,0,Harm,0
136,25,Male,3,8,spkmil,against,0,Harm,0
73,32,Female,2,4,spkmil,against,0,Harm,0
135,26,Female,7,2,spkmil,against,0,Harm,0
51,23,Female,7,3,spkmil,against,0,Harm,0
32,21,Male,3,3,spkmil,against,0,Harm,0
27,25,Male,3,5,spkmil,against,0,Harm,0
71,24,Male,2,5,libmil,against,0,Harm,0
207,25,Male,7,7,libmil,against,0,Harm,0
49,29,Female,3,2,libmil,against,0,Harm,0
123,27,Female,7,10,libmil,against,0,Harm,1
221,51,Female,7,7,premarsx,against,0,Harm,0
99,24,Female,7,0,obeylaw,against,0,Harm,0
67,25,Female,3,5,obeylaw,against,0,Harm,0
200,28,Female,7,7,obeylaw,against,0,Harm,0
15,22,Male,3,4,obeylaw,against,0,Harm,0
173,28,Female,7,6,obeylaw,against,0,Harm,0
79,25,Male,7,6,obeylaw,against,0,Harm,1
36,23,Female,3,5,obeylaw,against,0,Harm,0
130,49,Male,7,4,obeylaw,against,0,Harm,0
208,30,Female,5,5,obeylaw,against,0,Harm,0
31,21,Female,4,7,twoincs1,against,0,Harm,0
111,27,Male,7,0,twoincs1,against,0,Harm,0
75,31,Female,7,3,twoincs1,against,0,Harm,1
47,35,Male,7,8,twoincs1,against,0,Harm,0
202,34,Male,8,1,twoincs1,against,0,Harm,0
117,25,Female,7,6,twoincs1,against,0,Harm,1
95,22,Female,2,1,twoincs1,against,0,Harm,0
86,78,Male,8,6,twoincs1,against,0,Harm,0
218,23,Female,7,7,twoincs1,against,0,Harm,0
187,44,Male,6,5,abpoorw,against,0,Harm,0
191,27,Female,3,5,ifwrong,against,0,Harm,0
151,34,Male,7,10,ifwrong,against,0,Harm,0
72,22,Male,6,7,wrldgovt,against,0,Harm,0
159,21,Female,7,6,wrldgovt,against,0,Harm,0
135,26,Female,7,2,wrldgovt,against,0,Harm,0
92,23,Female,4,8,wrldgovt,against,0,Harm,0
27,25,Male,3,5,wrldgovt,against,0,Harm,0
